Batoh{pocetPredmetov=217, aktualnaHmotnost=11986.0, hodnotaUF=27185.0}
Predmet{cena=120.0, vaha=44.0, koeficient=2.727272727272727}
Predmet{cena=120.0, vaha=44.0, koeficient=2.727272727272727}
Predmet{cena=140.0, vaha=51.0, koeficient=2.7450980392156863}
Predmet{cena=110.0, vaha=40.0, koeficient=2.75}
Predmet{cena=135.0, vaha=48.0, koeficient=2.8125}
Predmet{cena=145.0, vaha=51.0, koeficient=2.843137254901961}
Predmet{cena=145.0, vaha=51.0, koeficient=2.843137254901961}
Predmet{cena=145.0, vaha=51.0, koeficient=2.843137254901961}
Predmet{cena=140.0, vaha=49.0, koeficient=2.857142857142857}
Predmet{cena=115.0, vaha=40.0, koeficient=2.875}
Predmet{cena=150.0, vaha=52.0, koeficient=2.8846153846153846}
Predmet{cena=125.0, vaha=43.0, koeficient=2.9069767441860463}
Predmet{cena=125.0, vaha=43.0, koeficient=2.9069767441860463}
Predmet{cena=120.0, vaha=41.0, koeficient=2.926829268292683}
Predmet{cena=135.0, vaha=46.0, koeficient=2.9347826086956523}
Predmet{cena=150.0, vaha=51.0, koeficient=2.9411764705882355}
Predmet{cena=145.0, vaha=49.0, koeficient=2.9591836734693877}
Predmet{cena=145.0, vaha=49.0, koeficient=2.9591836734693877}
Predmet{cena=125.0, vaha=42.0, koeficient=2.9761904761904763}
Predmet{cena=130.0, vaha=43.0, koeficient=3.0232558139534884}
Predmet{cena=140.0, vaha=46.0, koeficient=3.0434782608695654}
Predmet{cena=140.0, vaha=46.0, koeficient=3.0434782608695654}
Predmet{cena=130.0, vaha=42.0, koeficient=3.0952380952380953}
Predmet{cena=140.0, vaha=45.0, koeficient=3.111111111111111}
Predmet{cena=140.0, vaha=44.0, koeficient=3.1818181818181817}
Predmet{cena=150.0, vaha=47.0, koeficient=3.1914893617021276}
Predmet{cena=135.0, vaha=42.0, koeficient=3.2142857142857144}
Predmet{cena=145.0, vaha=45.0, koeficient=3.2222222222222223}
Predmet{cena=145.0, vaha=45.0, koeficient=3.2222222222222223}
